C2BrOP,O=PC#CBr
C2ClOP,O=PC#CCl
C2FOP,O=PC#CF
C2H2Br2ClP,PC(Br)=C(Br)Cl
C2H2Br2ClP_1,PC(Cl)=C(Br)Br
C2H2Br2ClP_2,ClC1C(Br)(Br)P1
C2H2Br2ClP_3,BrC1C(Cl)(Br)P1
C2H2Br2FP,PC(Br)=C(Br)F
C2H2Br2FP_1,PC(F)=C(Br)Br
C2H2Br2FP_2,FC1C(Br)(Br)P1
C2H2Br2FP_3,BrC1C(F)(Br)P1
C2H2Br2IP,PC(Br)=C(Br)I
C2H2Br2IP_1,PC(I)=C(Br)Br
C2H2Br2IP_2,IC1C(Br)(Br)P1
C2H2Br2IP_3,BrC1C(I)(Br)P1
C2H2Br3P,PC(Br)=C(Br)Br
C2H2Br3P_1,BrC1C(Br)(Br)P1
C2H2BrCl2P,PC(Br)=C(Cl)Cl
C2H2BrCl2P_1,PC(Cl)=C(Br)Cl
C2H2BrCl2P_2,ClC1C(Cl)(Br)P1
C2H2BrCl2P_3,BrC1C(Cl)(Cl)P1
C2H2BrClFP,PC(Br)=C(Cl)F
C2H2BrClFP_1,PC(Cl)=C(Br)F
C2H2BrClFP_2,PC(F)=C(Br)Cl
C2H2BrClFP_3,FC1C(Cl)(Br)P1
C2H2BrClFP_4,ClC1C(F)(Br)P1
C2H2BrClFP_5,BrC1C(F)(Cl)P1
C2H2BrClIP,PC(Br)=C(Cl)I
C2H2BrClIP_1,PC(Cl)=C(Br)I
C2H2BrClIP_2,PC(I)=C(Br)Cl
C2H2BrClIP_3,IC1C(Cl)(Br)P1
C2H2BrClIP_4,ClC1C(I)(Br)P1
C2H2BrClIP_5,BrC1C(I)(Cl)P1
C2H2BrF2P,PC(Br)=C(F)F
C2H2BrF2P_1,PC(F)=C(Br)F
C2H2BrF2P_2,FC1C(F)(Br)P1
C2H2BrF2P_3,BrC1C(F)(F)P1
C2H2BrFIP,PC(Br)=C(F)I
C2H2BrFIP_1,PC(F)=C(Br)I
C2H2BrFIP_2,PC(I)=C(Br)F
C2H2BrFIP_3,IC1C(F)(Br)P1
C2H2BrFIP_4,FC1C(I)(Br)P1
C2H2BrFIP_5,BrC1C(I)(F)P1
C2H2BrO2P,O=P(C#CBr)O
C2H2Cl2FP,PC(Cl)=C(Cl)F
C2H2Cl2FP_1,PC(F)=C(Cl)Cl
C2H2Cl2FP_2,FC1C(Cl)(Cl)P1
C2H2Cl2FP_3,ClC1C(F)(Cl)P1
C2H2Cl2IP,PC(Cl)=C(Cl)I
C2H2Cl2IP_1,PC(I)=C(Cl)Cl
C2H2Cl2IP_2,IC1C(Cl)(Cl)P1
C2H2Cl2IP_3,ClC1C(I)(Cl)P1
C2H2Cl3P,PC(Cl)=C(Cl)Cl
C2H2Cl3P_1,ClC1C(Cl)(Cl)P1
C2H2ClF2P,PC(Cl)=C(F)F
C2H2ClF2P_1,PC(F)=C(Cl)F
C2H2ClF2P_2,FC1C(F)(Cl)P1
C2H2ClF2P_3,ClC1C(F)(F)P1
C2H2ClFIP,PC(Cl)=C(F)I
C2H2ClFIP_1,PC(F)=C(Cl)I
C2H2ClFIP_2,PC(I)=C(Cl)F
C2H2ClFIP_3,IC1C(F)(Cl)P1
C2H2ClFIP_4,FC1C(I)(Cl)P1
C2H2ClFIP_5,ClC1C(I)(F)P1
C2H2ClI2P,PC(Cl)=C(I)I
C2H2ClI2P_1,PC(I)=C(Cl)I
C2H2ClI2P_2,IC1C(I)(Cl)P1
C2H2ClI2P_3,ClC1C(I)(I)P1
C2H2ClO2P,O=P(C#CCl)O
C2H2F2IP,PC(F)=C(F)I
C2H2F2IP_1,PC(I)=C(F)F
C2H2F2IP_2,IC1C(F)(F)P1
C2H2F2IP_3,FC1C(I)(F)P1
C2H2F3P,PC(F)=C(F)F
C2H2F3P_1,FC1C(F)(F)P1
C2H2FI2P,PC(F)=C(I)I
C2H2FI2P_1,PC(I)=C(F)I
C2H2FI2P_2,IC1C(I)(F)P1
C2H2FI2P_3,FC1C(I)(I)P1
C2H2FO2P,O=P(C#CF)O
C2H2FOP,O=PC(F)=C
C2H2FOP_1,O=PC=CF
C2H2FOP_2,FC#C[P]([H])([H])=O
C2H2IO2P,O=P(C#CI)O
C2H3Br2P,PC(Br)=CBr
C2H3Br2P_1,PC=C(Br)Br
C2H3Br2P_2,BrC1(Br)CP1
C2H3Br2P_3,BrC1C(Br)P1
C2H3BrClP,PC(Br)=CCl
C2H3BrClP_1,PC(Cl)=CBr
C2H3BrClP_2,PC=C(Br)Cl
C2H3BrClP_3,BrC1(Cl)CP1
C2H3BrClP_4,ClC1C(Br)P1
C2H3BrFOP,O=PC(C)(Br)F
C2H3BrFOP_1,O=PC(Br)CF
C2H3BrFOP_2,O=PC(F)CBr
C2H3BrFOP_3,O=PCC(Br)F
C2H3BrFOP_4,O=P1C(F)(Br)C1
C2H3BrFOP_5,O=P1C(F)C1Br
C2H3BrFOP_6,BrC(=CF)[P]([H])([H])=O
C2H3BrFOP_7,FC(=CBr)[P]([H])([H])=O
C2H3BrFOP_8,BrC(F)=C[P]([H])([H])=O
C2H3BrFP,PC(Br)=CF
C2H3BrFP_1,PC(F)=CBr
C2H3BrFP_2,PC=C(Br)F
C2H3BrFP_3,BrC1(F)CP1
C2H3BrFP_4,BrC1C(F)P1
C2H3BrIOP,O=PC(C)(Br)I
C2H3BrIOP_1,O=PC(Br)CI
C2H3BrIOP_2,O=PC(I)CBr
C2H3BrIOP_3,O=PCC(Br)I
C2H3BrIOP_4,O=P1C(I)(Br)C1
C2H3BrIOP_5,O=P1C(I)C1Br
C2H3BrIP,PC(Br)=CI
C2H3BrIP_1,PC(I)=CBr
C2H3BrIP_2,PC=C(Br)I
C2H3BrIP_3,BrC1(I)CP1
C2H3BrIP_4,BrC1C(I)P1
C2H3Cl2P,PC(Cl)=CCl
C2H3Cl2P_1,PC=C(Cl)Cl
C2H3Cl2P_2,ClC1(Cl)CP1
C2H3Cl2P_3,ClC1C(Cl)P1
C2H3ClFOP,O=PC(C)(Cl)F
C2H3ClFOP_1,O=PC(Cl)CF
C2H3ClFOP_2,O=PC(F)CCl
C2H3ClFOP_3,O=PCC(Cl)F
C2H3ClFOP_4,O=P1C(F)(Cl)C1
C2H3ClFOP_5,O=P1C(F)C1Cl
C2H3ClFOP_6,ClC(=CF)[P]([H])([H])=O
C2H3ClFOP_7,FC(=CCl)[P]([H])([H])=O
C2H3ClFOP_8,ClC(F)=C[P]([H])([H])=O
C2H3ClFP,PC(Cl)=CF
C2H3ClFP_1,PC(F)=CCl
C2H3ClFP_2,PC=C(Cl)F
C2H3ClFP_3,ClC1(F)CP1
C2H3ClFP_4,ClC1C(F)P1
C2H3ClIOP,O=PC(C)(Cl)I
C2H3ClIOP_1,O=PC(Cl)CI
C2H3ClIOP_2,O=PC(I)CCl
C2H3ClIOP_3,O=PCC(Cl)I
C2H3ClIOP_4,O=P1C(I)(Cl)C1
C2H3ClIOP_5,O=P1C(I)C1Cl
C2H3ClIOP_6,ClC([P]([H])([H])=O)=CI
C2H3ClIOP_7,IC([P]([H])([H])=O)=CCl
C2H3ClIOP_8,ClC(I)=C[P]([H])([H])=O
C2H3ClIP,PC(Cl)=CI
C2H3ClIP_1,PC(I)=CCl
C2H3ClIP_2,PC=C(Cl)I
C2H3ClIP_3,ClC1(I)CP1
C2H3ClIP_4,ClC1C(I)P1
C2H3F2OP,O=PC(C)(F)F
C2H3F2OP_1,O=PC(F)CF
C2H3F2OP_2,O=PCC(F)F
C2H3F2OP_3,O=P1C(F)(F)C1
C2H3F2OP_4,O=P1C(F)C1F
C2H3F2OP_5,FC(=CF)[P]([H])([H])=O
C2H3F2OP_6,FC(F)=C[P]([H])([H])=O
C2H3F2P,PC(F)=CF
C2H3F2P_1,PC=C(F)F
C2H3F2P_2,FC1(F)CP1
C2H3F2P_3,FC1C(F)P1
C2H3FIOP,O=PC(C)(F)I
C2H3FIOP_1,O=PC(F)CI
C2H3FIOP_2,O=PC(I)CF
C2H3FIOP_3,O=PCC(F)I
C2H3FIOP_4,O=P1C(I)(F)C1
C2H3FIOP_5,O=P1C(F)C1I
C2H3FIOP_6,FC(=CI)[P]([H])([H])=O
C2H3FIOP_7,IC(=CF)[P]([H])([H])=O
C2H3FIOP_8,FC(I)=C[P]([H])([H])=O
C2H3FIP,PC(F)=CI
C2H3FIP_1,PC(I)=CF
C2H3FIP_2,PC=C(F)I
C2H3FIP_3,FC1(I)CP1
C2H3FIP_4,IC1C(F)P1
C2H3I2P,PC(I)=CI
C2H3I2P_1,PC=C(I)I
C2H3I2P_2,IC1(I)CP1
C2H3I2P_3,IC1C(I)P1
C2H3N2P,C1=NPC=N1
C2H3O2P,O=P(C#C)O
C2H3O2P_1,C#CP(O)O
C2H3O3P,O=P(O)(C#C)O
C2H3OP,O=PC=C
C2H3OP_1,C#C[P]([H])([H])=O
C2H4Br2ClP,PC(CCl)(Br)Br
C2H4Br2ClP_1,PC(CBr)(Br)Cl
C2H4Br2ClP_2,PC(Br)C(Br)Cl
C2H4Br2ClP_3,PC(Cl)C(Br)Br
C2H4Br2ClP_4,PCC(Cl)(Br)Br
C2H4Br2ClP_5,BrCPC(Br)Cl
C2H4Br2ClP_6,ClCPC(Br)Br
C2H4Br2ClP_7,CPC(Cl)(Br)Br
C2H4Br2FP,PC(CF)(Br)Br
C2H4Br2FP_1,PC(CBr)(Br)F
C2H4Br2FP_2,PC(Br)C(Br)F
C2H4Br2FP_3,PC(F)C(Br)Br
C2H4Br2FP_4,PCC(F)(Br)Br
C2H4Br2FP_5,BrCPC(Br)F
C2H4Br2FP_6,CPC(F)(Br)Br
C2H4Br2FP_7,FCPC(Br)Br
C2H4Br2IP,PC(CI)(Br)Br
C2H4Br2IP_1,PC(CBr)(Br)I
C2H4Br2IP_2,PC(Br)C(Br)I
C2H4Br2IP_3,PC(I)C(Br)Br
C2H4Br2IP_4,PCC(I)(Br)Br
C2H4Br2IP_5,BrCPC(Br)I
C2H4Br2IP_6,CPC(I)(Br)Br
C2H4Br2IP_7,ICPC(Br)Br
C2H4Br3P,PC(CBr)(Br)Br
C2H4Br3P_1,PC(Br)C(Br)Br
C2H4Br3P_2,PCC(Br)(Br)Br
C2H4Br3P_3,BrCPC(Br)Br
