Formula,SMILES,Tot_atoms,Tot_nH_atoms,Dataset_no,Molecular_weight,IUPAC_chemname,Metalloid,EPISUITE,InChI_Code,InChI_Key,Boiling_Point,BP_basis,EPIsuite_output,MP,Basis,Life
H3P,P,4,1,19,33.9978,phosphane,N,P,InChI=1S/H3P/h1H3,InChIKey=XYFCBTPGUUZFHI-UHFFFAOYSA-N,-87.25,Ex,   468.18(BP est)    162.02(MP est)    -87.70(BP exp)   -133.00(MP exp)  P ,-133,Expt,Y
HOP,P=O,3,2,66,47.9808,oxophosphane,N,P=O,InChI=1S/HOP/c1-2/h2H,InChIKey=AUONHKJOIZSQGR-UHFFFAOYSA-N,1.951020147,Pr,   480.00(BP est)     90.27(MP est)      ----(BP exp)      ----(MP exp)  P=O ,90.27,Pred,N
CH5P,CP,7,2,68,48.0248,methylphosphane,N,CP,"InChI=1S/CH5P/c1-2/h2H2,1H3",InChIKey=SAWKFRBJGLMMES-UHFFFAOYSA-N,-17.1,Ex,     6.93(BP est)   -125.19(MP est)      ----(BP exp)      ----(MP exp)  CP ,-125.19,Pred,N
H4NP,NP,6,2,72,49.0128,phosphanamine,N,NP,InChI=1S/H4NP/c1-2/h1-2H2,InChIKey=XQJHRCVXRAJIDY-UHFFFAOYSA-N,41.10012106,Pr,   497.87(BP est)    195.11(MP est)      ----(BP exp)      ----(MP exp)  NP ,195.11,Pred,N
H3OP,[H][P]([H])([H])=O,5,2,14947,49.9968,phosphine oxide,N,O=P,InChI=1S/H3OP/c1-2/h2H3,InChIKey=MPQXHAGKBWFSNV-UHFFFAOYSA-N,1.889153287,Pr,   480.00(BP est)     90.27(MP est)      ----(BP exp)      ----(MP exp)  O=P ,90.27,Pred,N
C2H5P,P1CC1,8,3,208,60.0358,phosphirane,N,P1CC1,"InChI=1S/C2H5P/c1-2-3-1/h3H,1-2H2",InChIKey=UTMQOVWWMLZKRY-UHFFFAOYSA-N,20.71,Pr,    20.71(BP est)   -110.86(MP est)      ----(BP exp)      ----(MP exp)  P1CC1 ,-110.86,Pred,N
C2H5P,PC=C,8,3,209,60.0358,vinylphosphane,N,PC=C,"InChI=1S/C2H5P/c1-2-3/h2H,1,3H2",InChIKey=SCESWTHQFQXGMV-UHFFFAOYSA-N,31.8,Pr,    31.80(BP est)   -113.17(MP est)      ----(BP exp)      ----(MP exp)  PC=C ,-113.17,Pred,N
CH3OP,O=PC,6,3,252,62.0078,methyl(oxo)phosphane,N,O=PC,InChI=1S/CH3OP/c1-3-2/h1H3,InChIKey=XGCRFIXLYQQNSO-UHFFFAOYSA-N,59.39,Pr,    59.39(BP est)    -92.37(MP est)      ----(BP exp)      ----(MP exp)  O=PC ,-92.37,Pred,N
C2H7P,CPC,10,3,260,62.0518,dimethylphosphane,N,CPC,"InChI=1S/C2H7P/c1-3-2/h3H,1-2H3",InChIKey=YOTZYFSGUCFUKA-UHFFFAOYSA-N,10.76,Pr,    10.76(BP est)   -126.62(MP est)      ----(BP exp)      ----(MP exp)  CPC ,-126.62,Pred,N
C2H7P,CCP,10,3,261,62.0518,ethylphosphane,N,CCP,"InChI=1S/C2H7P/c1-2-3/h2-3H2,1H3",InChIKey=JLHMVTORNNQCRM-UHFFFAOYSA-N,33.78,Pr,    33.78(BP est)   -111.71(MP est)      ----(BP exp)      ----(MP exp)  CCP ,-111.71,Pred,N
HO2P,O=PO,4,3,286,63.9798,phosphenous acid,N,O=PO,"InChI=1S/HO2P/c1-3-2/h(H,1,2)",InChIKey=GQZXNSPRSGFJLY-UHFFFAOYSA-N,65.2051743,Pr,   480.00(BP est)     90.27(MP est)      ----(BP exp)      ----(MP exp)  O=PO ,90.27,Pred,N
CH5OP,POC,8,3,288,64.0238,methoxyphosphane,N,POC,"InChI=1S/CH5OP/c1-2-3/h3H2,1H3",InChIKey=JVRGLGIDPIOAFN-UHFFFAOYSA-N,34.8,Pr,    34.80(BP est)   -105.94(MP est)      ----(BP exp)      ----(MP exp)  POC ,-105.94,Pred,N
CH5OP,OCP,8,3,289,64.0238,phosphaneylmethanol,N,OCP,"InChI=1S/CH5OP/c2-1-3/h2H,1,3H2",InChIKey=RDBMUARQWLPMNW-UHFFFAOYSA-N,102.84,Pr,   102.84(BP est)    -66.78(MP est)      ----(BP exp)      ----(MP exp)  OCP ,-66.78,Pred,N
H3O2P,O=[PH2]O,6,3,322,65.9958,phosphinic acid,N,O=PO,"InChI=1S/H3O2P/c1-3-2/h3H2,(H,1,2)",InChIKey=ACVYVLVWPXVTIT-UHFFFAOYSA-N,65.16034556,Pr,   480.00(BP est)     90.27(MP est)      ----(BP exp)      ----(MP exp)  O=PO ,90.27,Pred,N
CH4FP,PCF,7,3,324,66.0152,(fluoromethyl)phosphane,N,PCF,"InChI=1S/CH4FP/c2-1-3/h1,3H2",InChIKey=UCWVGIYVICXULU-UHFFFAOYSA-N,9.59,Pr,     9.59(BP est)   -124.12(MP est)      ----(BP exp)      ----(MP exp)  PCF ,-124.12,Pred,N
CH6P2,C(P)P,9,3,1107,80.0065,bis(phosphaneyl)methane,N,C(P)P,InChI=1S/CH6P2/c2-1-3/h1-3H2,InChIKey=UXGNAFUPNZUQQX-UHFFFAOYSA-N,73.19,Pr,    73.19(BP est)    -90.16(MP est)      ----(BP exp)      ----(MP exp)  C(P)P ,-90.16,Pred,N
CH4ClP,ClCP,7,3,1404,82.4668,(chloromethyl)phosphane,N,ClCP,"InChI=1S/CH4ClP/c2-1-3/h1,3H2",InChIKey=NSRSKCIMAREEBU-UHFFFAOYSA-N,-68,Ex,    76.81(BP est)    -89.82(MP est)      ----(BP exp)      ----(MP exp)  ClCP ,-89.82,Pred,N
CH4BrP,BrCP,7,3,6514,126.921,(bromomethyl)phosphane,N,BrCP,"InChI=1S/CH4BrP/c2-1-3/h1,3H2",InChIKey=BVIHMMVWIIKCHZ-UHFFFAOYSA-N,90.69,Pr,    90.69(BP est)    -70.83(MP est)      ----(BP exp)      ----(MP exp)  BrCP ,-70.83,Pred,N
CH4IP,ICP,7,3,9272,173.921,(iodomethyl)phosphane,N,ICP,"InChI=1S/CH4IP/c2-1-3/h1,3H2",InChIKey=LJPVUIXPWTZHNY-UHFFFAOYSA-N,125.34,Pr,   125.34(BP est)    -61.59(MP est)      ----(BP exp)      ----(MP exp)  ICP ,-61.59,Pred,N
CH5OP,C[P]([H])([H])=O,8,3,14950,64.0238,methylphosphine oxide,N,CP=O,"InChI=1S/CH5OP/c1-3-2/h3H2,1H3",InChIKey=HXZSFRJGDPGVNY-UHFFFAOYSA-N,59.39,Pr,    59.39(BP est)    -92.37(MP est)      ----(BP exp)      ----(MP exp)  CP=O ,-92.37,Pred,N
H4NOP,N[P]([H])([H])=O,7,3,14951,65.0118,phosphinic amide,N,NP=O,"InChI=1S/H4NOP/c1-3-2/h3H2,(H2,1,2)",InChIKey=IARLISDOOLYUNK-UHFFFAOYSA-N,65.53060311,Pr,   480.00(BP est)     90.27(MP est)      ----(BP exp)      ----(MP exp)  NP=O ,90.27,Pred,N
C2HOP,O=PC#C,5,4,586,72.0028,ethynyl(oxo)phosphane,N,O=PC#C,InChI=1S/C2HOP/c1-2-4-3/h1H,InChIKey=UMODFQRVMPZGIZ-UHFFFAOYSA-N,93.03,Pr,    93.03(BP est)    -53.43(MP est)      ----(BP exp)      ----(MP exp)  O=PC#C ,-53.43,Pred,N
C3H5P,P1C=CC1,9,4,588,72.0468,"1,2-dihydrophosphete",N,P1C=CC1,"InChI=1S/C3H5P/c1-2-4-3-1/h1-2,4H,3H2",InChIKey=UJPZNVXMZCSJLL-UHFFFAOYSA-N,52.86,Pr,    52.86(BP est)    -97.22(MP est)      ----(BP exp)      ----(MP exp)  P1C=CC1 ,-97.22,Pred,N
C3H5P,CPC#C,9,4,589,72.0468,ethynyl(methyl)phosphane,N,CPC#C,"InChI=1S/C3H5P/c1-3-4-2/h1,4H,2H3",InChIKey=XRAXLJJAJSVXBT-UHFFFAOYSA-N,46.65,Pr,    46.65(BP est)    -87.02(MP est)      ----(BP exp)      ----(MP exp)  CPC#C ,-87.02,Pred,N
C3H5P,C#CCP,9,4,590,72.0468,prop-2-yn-1-ylphosphane,N,C#CCP,"InChI=1S/C3H5P/c1-2-3-4/h1H,3-4H2",InChIKey=MWHVZVFUKFSZMB-UHFFFAOYSA-N,68.62,Pr,    68.62(BP est)    -72.42(MP est)      ----(BP exp)      ----(MP exp)  C#CCP ,-72.42,Pred,N
C3H5P,C(=C)=CP,9,4,591,72.0468,"propa-1,2-dien-1-ylphosphane",N,C(=C)=CP,"InChI=1S/C3H5P/c1-2-3-4/h3H,1,4H2",InChIKey=WWPYBNWNNHQNDJ-UHFFFAOYSA-N,49.56,Pr,    49.56(BP est)   -110.15(MP est)      ----(BP exp)      ----(MP exp)  C(=C)=CP ,-110.15,Pred,N
C2H3OP,O=PC=C,7,4,709,74.0188,oxo(vinyl)phosphane,N,O=PC=C,"InChI=1S/C2H3OP/c1-2-4-3/h2H,1H2",InChIKey=ONLFBNDNPYLPCT-UHFFFAOYSA-N,82.61,Pr,    82.61(BP est)    -80.84(MP est)      ----(BP exp)      ----(MP exp)  O=PC=C ,-80.84,Pred,N
CH3N2P,C(#N)PN,7,4,710,74.0228,aminophosphanecarbonitrile,N,C(#N)PN,"InChI=1S/CH3N2P/c2-1-4-3/h4H,3H2",InChIKey=GAYXWVQGLNQTKF-UHFFFAOYSA-N,150.19,Pr,   150.19(BP est)    -17.42(MP est)      ----(BP exp)      ----(MP exp)  C(#N)PN ,-17.42,Pred,N
C3H7P,CP1CC1,11,4,722,74.0628,1-methylphosphirane,N,CP1CC1,"InChI=1S/C3H7P/c1-4-2-3-4/h2-3H2,1H3",InChIKey=CXYFGXNSRDSPQE-UHFFFAOYSA-N,48.14,Pr,    48.14(BP est)    -97.91(MP est)      ----(BP exp)      ----(MP exp)  CP1CC1 ,-97.91,Pred,N
C3H7P,C=CCP,11,4,723,74.0628,allylphosphane,N,C=CCP,"InChI=1S/C3H7P/c1-2-3-4/h2H,1,3-4H2",InChIKey=QHJWOSHIGFDANE-UHFFFAOYSA-N,57.82,Pr,    57.82(BP est)    -99.94(MP est)      ----(BP exp)      ----(MP exp)  C=CCP ,-99.94,Pred,N
C3H7P,PC1CC1,11,4,724,74.0628,cyclopropylphosphane,N,PC1CC1,"InChI=1S/C3H7P/c4-3-1-2-3/h3H,1-2,4H2",InChIKey=LRTZIJCDXOAKRC-UHFFFAOYSA-N,64.05,Pr,    64.05(BP est)    -88.27(MP est)      ----(BP exp)      ----(MP exp)  PC1CC1 ,-88.27,Pred,N
C3H7P,CPC=C,11,4,725,74.0628,methyl(vinyl)phosphane,N,CPC=C,"InChI=1S/C3H7P/c1-3-4-2/h3-4H,1H2,2H3",InChIKey=ZFJGNEHHKKSBGN-UHFFFAOYSA-N,35.52,Pr,    35.52(BP est)   -114.64(MP est)      ----(BP exp)      ----(MP exp)  CPC=C ,-114.64,Pred,N
C3H7P,P1CCC1,11,4,726,74.0628,phosphetane,N,P1CCC1,"InChI=1S/C3H7P/c1-2-4-3-1/h4H,1-3H2",InChIKey=RVZJVYCTFGOEHX-UHFFFAOYSA-N,49.48,Pr,    49.48(BP est)    -98.59(MP est)      ----(BP exp)      ----(MP exp)  P1CCC1 ,-98.59,Pred,N
C2H5OP,O=PCC,9,4,851,76.0348,ethyl(oxo)phosphane,N,O=PCC,"InChI=1S/C2H5OP/c1-2-4-3/h2H2,1H3",InChIKey=MNRZBCRGXWQKQJ-UHFFFAOYSA-N,84.45,Pr,    84.45(BP est)    -79.42(MP est)      ----(BP exp)      ----(MP exp)  O=PCC ,-79.42,Pred,N
C2H5OP,O=P1CC1,9,4,854,76.0348,phosphirane 1-oxide,N,O=P1CC1,"InChI=1S/C2H5OP/c3-4-1-2-4/h4H,1-2H2",InChIKey=ZNCWUIZFZJXKEJ-UHFFFAOYSA-N,91.2,Pr,    91.20(BP est)    -72.79(MP est)      ----(BP exp)      ----(MP exp)  O=P1CC1 ,-72.79,Pred,N
CH5N2P,C(=N)(N)P,9,4,855,76.0388,phosphanecarboximidamide,N,C(=N)(N)P,"InChI=1S/CH5N2P/c2-1(3)4/h4H2,(H3,2,3)",InChIKey=XCXAQVZPLNXACA-UHFFFAOYSA-N,146.89,Pr,   146.89(BP est)     -8.31(MP est)      ----(BP exp)      ----(MP exp)  C(=N)(N)P ,-8.31,Pred,N
C3H9P,CPCC,13,4,883,76.0788,ethyl(methyl)phosphane,N,CPCC,"InChI=1S/C3H9P/c1-3-4-2/h4H,3H2,1-2H3",InChIKey=BXDCELKJGGVUHD-UHFFFAOYSA-N,54.5,Ex,    37.49(BP est)   -113.18(MP est)      ----(BP exp)      ----(MP exp)  CPCC ,-113.18,Pred,N
C3H9P,CC(P)C,13,4,884,76.0788,isopropylphosphane,N,CC(P)C,"InChI=1S/C3H9P/c1-3(2)4/h3H,4H2,1-2H3",InChIKey=HHDLJTLPOGOXLR-UHFFFAOYSA-N,44.19,Pr,    44.19(BP est)   -110.54(MP est)      ----(BP exp)      ----(MP exp)  CC(P)C ,-110.54,Pred,N
C3H9P,CCCP,13,4,885,76.0788,propylphosphane,N,CCCP,"InChI=1S/C3H9P/c1-2-3-4/h2-4H2,1H3",InChIKey=NNOBHPBYUHDMQF-UHFFFAOYSA-N,59.73,Pr,    59.73(BP est)    -98.50(MP est)      ----(BP exp)      ----(MP exp)  CCCP ,-98.5,Pred,N
C3H9P,CP(C)C,13,4,886,76.0788,trimethylphosphane,N,CP(C)C,InChI=1S/C3H9P/c1-4(2)3/h1-3H3,InChIKey=YWWDBCBWQNCYNR-UHFFFAOYSA-N,37.46,Ex,    38.54(BP est)   -113.56(MP est)     37.50(BP exp)    -85.00(MP exp)  CP(C)C ,-85,Expt,N
CH4NOP,CNP=O,8,4,930,77.0228,N-methyloxophosphanyl amide,N,CNP=O,"InChI=1S/CH4NOP/c1-2-4-3/h1H3,(H,2,3)",InChIKey=SOJAZIICKSULOS-UHFFFAOYSA-N,105.5,Pr,   105.50(BP est)    -52.58(MP est)      ----(BP exp)      ----(MP exp)  CNP=O ,-52.58,Pred,N
C2H8NP,NCCP,12,4,940,77.0668,2-phosphaneylethan-1-amine,N,NCCP,InChI=1S/C2H8NP/c3-1-2-4/h1-4H2,InChIKey=LJASZMIARXGOCH-UHFFFAOYSA-N,100.6,Pr,   100.60(BP est)    -50.58(MP est)      ----(BP exp)      ----(MP exp)  NCCP ,-50.58,Pred,N
C2H8NP,NP(C)C,12,4,941,77.0668,dimethylphosphanamine,N,NP(C)C,"InChI=1S/C2H8NP/c1-4(2)3/h3H2,1-2H3",InChIKey=WTGIKPFXWZGKHW-UHFFFAOYSA-N,80.64,Pr,    80.64(BP est)    -65.27(MP est)      ----(BP exp)      ----(MP exp)  NP(C)C ,-65.27,Pred,N
C2H8NP,N(P)(C)C,12,4,942,77.0668,"N,N-dimethylphosphanamine",N,N(P)(C)C,"InChI=1S/C2H8NP/c1-3(2)4/h4H2,1-2H3",InChIKey=KCXYZMFPZHYUFO-UHFFFAOYSA-N,59.01,Pr,    59.01(BP est)    -88.11(MP est)      ----(BP exp)      ----(MP exp)  N(P)(C)C ,-88.11,Pred,N
CH3O2P,O=POC,7,4,974,78.0068,methyl phosphenite,N,O=POC,InChI=1S/CH3O2P/c1-3-4-2/h1H3,InChIKey=XKCQASMZNPBLKI-UHFFFAOYSA-N,85.4,Pr,    85.40(BP est)    -73.66(MP est)      ----(BP exp)      ----(MP exp)  O=POC ,-73.66,Pred,N
C2H4FP,PC(F)=C,8,4,977,78.0262,(1-fluorovinyl)phosphane,N,PC(F)=C,"InChI=1S/C2H4FP/c1-2(3)4/h1,4H2",InChIKey=NFOHCGLBELUSDA-UHFFFAOYSA-N,27.16,Pr,    27.16(BP est)   -121.21(MP est)      ----(BP exp)      ----(MP exp)  PC(F)=C ,-121.21,Pred,N
C2H4FP,PC=CF,8,4,978,78.0262,(2-fluorovinyl)phosphane,N,PC=CF,"InChI=1S/C2H4FP/c3-1-2-4/h1-2H,4H2",InChIKey=LTLRGATXCZPCGI-UHFFFAOYSA-N,44.42,Pr,    44.42(BP est)   -110.85(MP est)      ----(BP exp)      ----(MP exp)  PC=CF ,-110.85,Pred,N
C2H4FP,FC1CP1,8,4,979,78.0262,2-fluorophosphirane,N,FC1CP1,"InChI=1S/C2H4FP/c3-2-1-4-2/h2,4H,1H2",InChIKey=MEFCJVJULPGLAX-UHFFFAOYSA-N,15.54,Pr,    15.54(BP est)   -114.20(MP est)      ----(BP exp)      ----(MP exp)  FC1CP1 ,-114.2,Pred,N
C2H7OP,OCCP,11,4,984,78.0508,2-phosphaneylethan-1-ol,N,OCCP,"InChI=1S/C2H7OP/c3-1-2-4/h3H,1-2,4H2",InChIKey=CKFRJFUTYHQHCA-UHFFFAOYSA-N,145,Ex,   126.31(BP est)    -54.29(MP est)      ----(BP exp)      ----(MP exp)  OCCP ,-54.29,Pred,N
C2H7OP,O=P(C)C,11,4,985,78.0508,dimethylphosphine oxide,N,O=P(C)C,"InChI=1S/C2H7OP/c1-4(2)3/h4H,1-2H3",InChIKey=HGDIHUZVQPKSMO-UHFFFAOYSA-N,82.17,Pr,    82.17(BP est)    -88.27(MP est)      ----(BP exp)      ----(MP exp)  O=P(C)C ,-88.27,Pred,N
C2H7OP,CPOC,11,4,988,78.0508,methoxy(methyl)phosphane,N,CPOC,"InChI=1S/C2H7OP/c1-3-4-2/h4H,1-2H3",InChIKey=YAWLOYUUBJPJFH-UHFFFAOYSA-N,38.51,Pr,    38.51(BP est)   -107.40(MP est)      ----(BP exp)      ----(MP exp)  CPOC ,-107.4,Pred,N
CH2FOP,O=PCF,6,4,1106,79.9982,(fluoromethyl)(oxo)phosphane,N,O=PCF,InChI=1S/CH2FOP/c2-1-4-3/h1H2,InChIKey=IVQNNVKFLFGQMC-UHFFFAOYSA-N,61.88,Pr,    61.88(BP est)    -91.35(MP est)      ----(BP exp)      ----(MP exp)  O=PCF ,-91.35,Pred,N
CH5O2P,O=P(C)O,9,4,1109,80.0228,methylphosphinic acid,N,O=P(C)O,"InChI=1S/CH5O2P/c1-4(2)3/h4H,1H3,(H,2,3)",InChIKey=BCDIWLCKOCHCIH-UHFFFAOYSA-N,162.61,Pr,   162.61(BP est)    -40.01(MP est)      ----(BP exp)      ----(MP exp)  O=P(C)O ,-40.01,Pred,N
C2H6FP,PC(F)C,10,4,1114,80.0422,(1-fluoroethyl)phosphane,N,PC(F)C,"InChI=1S/C2H6FP/c1-2(3)4/h2H,4H2,1H3",InChIKey=RCACBAJGBFOGNN-UHFFFAOYSA-N,20.33,Pr,    20.33(BP est)   -122.84(MP est)      ----(BP exp)      ----(MP exp)  PC(F)C ,-122.84,Pred,N
C2H6FP,PCCF,10,4,1115,80.0422,(2-fluoroethyl)phosphane,N,PCCF,"InChI=1S/C2H6FP/c3-1-2-4/h1-2,4H2",InChIKey=GYQDBNYYNSTQTM-UHFFFAOYSA-N,36.36,Pr,    36.36(BP est)   -110.67(MP est)      ----(BP exp)      ----(MP exp)  PCCF ,-110.67,Pred,N
C2H6FP,CPCF,10,4,1116,80.0422,(fluoromethyl)(methyl)phosphane,N,CPCF,"InChI=1S/C2H6FP/c1-4-2-3/h4H,2H2,1H3",InChIKey=MVBAWHBVJAQIGL-UHFFFAOYSA-N,13.42,Pr,    13.42(BP est)   -125.55(MP est)      ----(BP exp)      ----(MP exp)  CPCF ,-125.55,Pred,N
H3O3P,O=P(O)O,7,4,1267,81.9948,phosphonic acid,N,O=P(O)O,"InChI=1S/H3O3P/c1-4(2)3/h4H,(H2,1,2,3)",InChIKey=ABLZXFCXXLZCGV-UHFFFAOYSA-N,135.6272913,Pr,   480.00(BP est)     90.27(MP est)      ----(BP exp)      ----(MP exp)  O=P(O)O ,90.27,Pred,N
CH3F2P,PC(F)F,7,4,1530,84.0056,(difluoromethyl)phosphane,N,PC(F)F,"InChI=1S/CH3F2P/c2-1(3)4/h1H,4H2",InChIKey=HGVLQMWHKAMCMG-UHFFFAOYSA-N,-4.26,Pr,    -4.26(BP est)   -135.37(MP est)      ----(BP exp)      ----(MP exp)  PC(F)F ,-135.37,Pred,N
C2H8P2,PCCP,12,4,3363,94.0335,"1,2-bis(phosphaneyl)ethane",N,PCCP,InChI=1S/C2H8P2/c3-1-2-4/h1-4H2,InChIKey=FWFZRPMNAAFGBA-UHFFFAOYSA-N,97.75,Pr,    97.75(BP est)    -77.35(MP est)      ----(BP exp)      ----(MP exp)  PCCP ,-77.35,Pred,N
C2H8P2,CC(P)P,12,4,3364,94.0335,"ethane-1,1-diylbis(phosphane)",N,CC(P)P,"InChI=1S/C2H8P2/c1-2(3)4/h2H,3-4H2,1H3",InChIKey=SYLMLKKURPTCSO-UHFFFAOYSA-N,83.05,Pr,    83.05(BP est)    -89.14(MP est)      ----(BP exp)      ----(MP exp)  CC(P)P ,-89.14,Pred,N
C2H8P2,CPCP,12,4,3365,94.0335,methyl(phosphaneylmethyl)phosphane,N,CPCP,"InChI=1S/C2H8P2/c1-4-2-3/h4H,2-3H2,1H3",InChIKey=TYENWAPPHFJVNZ-UHFFFAOYSA-N,76.7,Pr,    76.70(BP est)    -91.68(MP est)      ----(BP exp)      ----(MP exp)  CPCP ,-91.68,Pred,N
C2H7PS,CCSP,11,4,3441,94.1118,(ethylthio)phosphane,N,CCSP,"InChI=1S/C2H7PS/c1-2-4-3/h2-3H2,1H3",InChIKey=RWULJFSXNBBGHY-UHFFFAOYSA-N,105.73,Pr,   105.73(BP est)    -73.51(MP est)      ----(BP exp)      ----(MP exp)  CCSP ,-73.51,Pred,N
C2H4ClP,PC(Cl)=C,8,4,3460,94.4778,(1-chlorovinyl)phosphane,N,PC(Cl)=C,"InChI=1S/C2H4ClP/c1-2(3)4/h1,4H2",InChIKey=ZHOOSKDWWVSOGK-UHFFFAOYSA-N,63.59,Pr,    63.59(BP est)    -95.91(MP est)      ----(BP exp)      ----(MP exp)  PC(Cl)=C ,-95.91,Pred,N
C2H4ClP,PC=CCl,8,4,3461,94.4778,(2-chlorovinyl)phosphane,N,PC=CCl,"InChI=1S/C2H4ClP/c3-1-2-4/h1-2H,4H2",InChIKey=XNTSOTJPXOGXQV-UHFFFAOYSA-N,80.02,Pr,    80.02(BP est)    -85.79(MP est)      ----(BP exp)      ----(MP exp)  PC=CCl ,-85.79,Pred,N
C2H4ClP,ClC1CP1,8,4,3462,94.4778,2-chlorophosphirane,N,ClC1CP1,"InChI=1S/C2H4ClP/c3-2-1-4-2/h2,4H,1H2",InChIKey=SVUKYMTTYIPMGO-UHFFFAOYSA-N,68.64,Pr,    68.64(BP est)    -84.03(MP est)      ----(BP exp)      ----(MP exp)  ClC1CP1 ,-84.03,Pred,N
CH2ClOP,O=PCCl,6,4,3601,96.4498,(chloromethyl)(oxo)phosphane,N,O=PCCl,InChI=1S/CH2ClOP/c2-1-4-3/h1H2,InChIKey=XUHOACLGQWANMS-UHFFFAOYSA-N,124.47,Pr,   124.47(BP est)    -58.41(MP est)      ----(BP exp)      ----(MP exp)  O=PCCl ,-58.41,Pred,N
C2H6ClP,ClC(P)C,10,4,3605,96.4938,(1-chloroethyl)phosphane,N,ClC(P)C,"InChI=1S/C2H6ClP/c1-2(3)4/h2H,4H2,1H3",InChIKey=QUQIIYHOFXMCLJ-UHFFFAOYSA-N,73.11,Pr,    73.11(BP est)    -92.77(MP est)      ----(BP exp)      ----(MP exp)  ClC(P)C ,-92.77,Pred,N
C2H6ClP,ClCCP,10,4,3606,96.4938,(2-chloroethyl)phosphane,N,ClCCP,"InChI=1S/C2H6ClP/c3-1-2-4/h1-2,4H2",InChIKey=PWMMURYQMINLIQ-UHFFFAOYSA-N,101.25,Pr,   101.25(BP est)    -77.06(MP est)      ----(BP exp)      ----(MP exp)  ClCCP ,-77.06,Pred,N
